term,pinyin,cleaned_pinyin
安享,ānxiǎng,ānxiǎng
熨斗,yùndǒu,yùndǒu
韵文,yùnwén,yùnwén
传习,chuánxí,chuánxí
雅兴,yǎxìng,yǎxìng
开光,kāiguāng,kāiguāng
直拍,zhípāi,zhípāi
付诸东流,fùzhū-dōngliú,fùzhū dōngliú
收条,shōutiáo,shōutiáo
根雕,gēndiāo,gēndiāo
急症,jízhèng,jízhèng
脱粒,tuōlì,tuōlì
干洗,gānxǐ,gānxǐ
弄鬼,nòngguǐ,nòngguǐ
克复,kèfù,kèfù
摇荡,yáodàng,yáodàng
甜面酱,tiánmiànjiàng,tiánmiànjiàng
离题,lítí,lítí
难缠,nánchán,nánchán
美其名曰,měiqímíngyuē,měiqímíngyuē
陪练,péiliàn,péiliàn
没辙,méizhé,méizhé
栗色,lìsè,lìsè
握拳,wòquán,wòquán
惑众,huòzhòng,huòzhòng
蒜苗,suànmiáo,suànmiáo
南纬,nánwěi,nánwěi
芥末,jièmo,jièmo
征购,zhēnggòu,zhēnggòu
偷情,tōuqíng,tōuqíng
变节,biànjié,biànjié
取闹,qǔnào,qǔnào
十万火急,shíwàn-huǒjí,shíwàn huǒjí
触景生情,chùjǐng-shēngqíng,chùjǐng shēngqíng
声情并茂,shēngqíng-bìngmào,shēngqíng bìngmào
太空人,tàikōngrén,tàikōngrén
拗不过,niùbuguò,niùbuguò
老寿星,lǎoshòuxing,lǎoshòuxing
裹足不前,guǒzú-bùqián,guǒzú bùqián
足智多谋,zúzhì-duōmóu,zúzhì duōmóu
神气活现,shénqì-huóxiàn,shénqì huóxiàn
