definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
13004,4007,,,1,名词,豆类等植物的果实
13005,4008,,,1,动词,用刀、铲等挖
13006,4009,,,1,叹词,表示鄙视或斥责
13007,4010,,,1,动词,用门牙咬有壳的或较硬的东西
13008,4011,,,1,动词,拉；拉长
13009,4012,,,1,动词,（液体）向下渗漏；过滤
13010,4013,,,1,拟声词,模拟摩擦的声音
13011,4014,,,1,名词,蟒蛇
13012,4014,,,2,名词,指蟒袍
13013,4015,,,1,动词,快速向上或向前跳跃
13014,4015,,,2,动词,〈口〉往上冒；喷射
13015,4016,,,1,形容词,某些地区指排行最末的
13016,4016,,,2,数词,指色（shǎi）子和骨牌里的一点；某些场合读数字时代替“1”
13017,4017,,,1,名词,数学上指一个数自乘若干次的形式。如4个5相乘，写成54，叫做5的4次幂
13018,4017,,,2,动词,〈文〉遮盖；笼罩
13019,4017,,,3,名词,〈文〉遮盖东西的巾类
13020,4018,,,1,名词,鸟，常指斑鸠
13021,4018,,,2,动词,聚集
13022,4019,,,1,名词,两条裤腿间相连的地方
13023,4019,,,2,名词,两腿之间的部位
13024,4020,,,1,名词,哺乳动物，身体细长，四肢短，尾巴粗，尾毛长而蓬松。种类很多，如紫貂、水貂等
13025,4021,,,1,拟声词,模拟物体撞击或鸭子、青蛙等鸣叫的声音。
13026,4022,,,1,动词,用话顶撞别人，使人受窘而说不出话来
13027,4022,,,2,动词,食物等塞住喉咙
13028,4022,,,3,动词,因痛苦、激动或顶风而喘不上气来
13029,4023,,,1,名词,指熟睡时粗重的呼吸声
13030,4024,,,1,名词,某些地区指集市
13031,4025,,,1,名词,圩堤
13032,4026,,,1,动词,斜着眼睛看
13033,4027,,,1,,〈口〉“三个”的合音词
13034,4028,,,1,动词,用手指头夹或捏取
13035,4029,,,1,动词,【塞】把东西填入或胡乱放入；塞进衣袋或缝隙等
13036,4029,,,2,动词,藏
13037,4030,,,1,动词,〈文〉搀扶人的胳膊；借指扶助或奖励、提拔
13038,4031,,,1,名词,铲东西或挖土用的工具，柄的一端安有用铁板或木板制成的头。
13039,4032,,,1,名词,二年或多年生草本植物，叶子羽状分裂，花小，带有某种特殊气味。常见的有茼蒿、蒌蒿、青蒿、艾蒿等。有的嫩茎叶可以作蔬菜，有的可以驱蚊、做药材
13040,4033,,,1,量词,用于点着的香
13041,4033,,,2,动词,〈文〉点燃
13042,4033,,,3,名词,〈文〉灯芯
13043,4034,,,1,名词,一种用来盛东西的大腹陶器
13044,4035,,,1,名词,人体腰部两侧到大腿之间的部分
