rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4079,迸,bèng,,,动,向四外溅射或爆开,迸 裂
4079,迸,bèng,,,动,向外突然发出,憋了半天才 迸 出一句话来
4079,迸,bèng,,,动,向外突然发出,迸 发
4081,糨,jiàng,,,形,面糊、粥等所含米、面成分较多；稠,把粥熬 糨 一点 儿
4081,糨,jiàng,,,形,面糊、粥等所含米、面成分较多；稠,糨 糊
4082,匮,kuì,,,动,不足；缺少,匮 乏
4082,匮,kuì,,,动,不足；缺少,匮 缺
4083,疡,yáng,,,动,皮肤或黏膜溃烂,溃 疡
4084,挝,wō,,,名,老挝 lǎowō 国名，在东南亚,
4084,挝,zhuā,,,动,〈文〉 敲打；击,挝 鼓
4084,挝,zhuā,,,动,〈文〉 敲打；击,挝 打
4085,谥,shì,,,名,古代帝王、贵族、大臣或其他有地位的人死后，依其生前事迹所给予的带有褒贬意义的称号,谥 号
4085,谥,shì,,,名,古代帝王、贵族、大臣或其他有地位的人死后，依其生前事迹所给予的带有褒贬意义的称号,谥 法（评定谥号的法则） 。
4086,恪,kè,,,形,恭敬而谨慎,恪 遵
4086,恪,kè,,,形,恭敬而谨慎,恪 守
4087,狩,shòu,,,动,〈文〉 冬季打猎；泛指打猎 狩 猎 帝王出外巡视 巡 狩 用法说明 不读 shǒu,
4088,篌,hóu,,,,见“ 箜（kōng）篌 ”,
4089,腈,jīng,,,名,含有氰基的有机化合物。无色液体或固体，有特殊气味，遇酸或碱即分解,
4090,雉,zhì,,,名,鸟，形状像鸡，雄的羽毛华丽，尾长，足后有距；雌的羽毛灰褐色，尾较短，足后无距。通称野鸡,
4090,雉,zhì,,,量,古代计算城墙面积的单位，长3丈、高1丈为1雉,城隅九 雉
4091,翮,hé,,,名,〈文〉 禽类羽毛基部无毛中空的部分 鸟的翅膀 振 翮 高飞,
4092,朕,zhèn,,,代,秦代以前说话人称自己，相当于“我” “我的”,朕 皇考曰伯庸（我的先父叫伯庸） 。
4092,朕,zhèn,,,代,自秦始皇起专用作皇帝的自称，沿用到清末,
4092,朕,zhèn,,,名,〈文〉 征兆,朕 兆
4093,宸,chén,,,名,〈文〉 大而深的房屋 宸 宇 帝王的住所 宸 居 | 宸 扉（宫门） 借指王位或帝王 宸 驾 | 宸 衷（帝王的心愿）,
4094,荟,huì,,,形,〈文〉草木茂盛,木 荟 草蔚
4094,荟,huì,,,动,汇聚,荟 集
4095,靳,jìn,,,动,〈文〉舍不得给,
4095,靳,jìn,,,名,○ 姓,
4096,暧,ài,暧昧,àimèi,形,（态度、用意）不明朗；（行为）不光明正大,态度 暧昧
4096,暧,ài,暧昧,àimèi,形,（态度、用意）不明朗；（行为）不光明正大,关系 暧昧
4097,昕,xīn,,,名,〈文〉 太阳即将出来的时候；黎明,自 昕 至夕
4097,昕,xīn,,,名,〈文〉 太阳即将出来的时候；黎明,昕 夕相亲
4098,铧,huá,,,名,犁铧,
4099,骛,wù,,,动,奔驰,驰 骛
4099,骛,wù,,,同,“ 务 ” 现在一般写作“务”，但“好高骛远”中的“骛”仍写作“骛”,
4100,燹,xiǎn,,,名,〈文〉 野火；兵火,兵 燹
4102,孬,nāo,,,形,某些地区指不好，坏,质量 孬 的产品没有市场 。
4102,孬,nāo,,,形,某些地区指怯懦，缺乏勇气,孬 种
4103,迦,jiā,,,,音译用字，用于“释迦牟尼”（佛教创始人）等,
4107,钗,chāi,,,名,妇女用来固定发髻的一种首饰。一般用金、银或玉制作，呈双股长针形,金 钗
