hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12974,品味,10598,13560,pǐn wèi,1,
12975,话机,10599,13561,huà jī,1,
12976,多姿,10600,13562,duō zī,1,
12977,无畏,10601,13563,wú wèi,1,
12978,领空,10602,13564,lǐng kōng,1,
12979,回信,10603,13565,huí xìn,1,
12980,勉励,10604,13566,miǎn lì,1,
12981,售货,10605,13567,shòu huò,1,
12982,技术含量,10606,13568,jì shù hán liàng,1,
12983,词典,10607,13569,cí diǎn,1,
12984,心境,10609,13570,xīn jìng,1,
12985,筷子,10610,13571,kuài zi,1,
12986,天赋,10612,13572,tiān fù,1,
12987,国库券,10613,13573,guó kù quàn,1,
12988,免除,10614,13574,miǎn chú,1,
12989,过错,10615,13575,guò cuò,1,
12990,祥和,10616,13576,xiáng hé,1,
12991,挑衅,10617,13577,tiǎo xìn,1,
12992,渊源,10618,13578,yuān yuán,1,
12993,有损,10620,13579,yǒu sǔn,1,
12994,弃权,10621,13580,qì quán,1,
12995,获释,10622,13581,huò shì,1,
12996,海事,10625,13582,hǎi shì,1,
12997,酒精,10626,13583,jiǔ jīng,1,
12998,电动,10627,13584,diàn dòng,1,
12999,原子弹,10628,13585,yuán zǐ dàn,1,
13000,上访,10629,13586,shàng fǎng,1,
13001,候补,10630,13587,hòu bǔ,1,
13002,盐湖,10632,13588,yán hú,1,
13003,嫉妒,10633,13589,jí dù,1,
13004,雨量,10634,13590,yǔ liàng,1,
13005,出人意料,10635,13591,chū rén yì liào,1,
13006,居高不下,10636,13592,jū gāo bù xià,1,
13007,多情,10637,13593,duō qíng,1,
13008,机车,10638,13594,jī chē,1,
13009,素养,10639,13595,sù yǎng,1,
13010,古建,10640,13596,gǔ jiàn,1,
13011,刑事犯,10641,13597,xíng shì fàn,1,
13012,居室,10642,13598,jū shì,1,
13013,上路,10643,13599,shàng lù,1,
13014,制剂,10644,13600,zhì jì,1,
13015,重担,10645,13601,zhòng dàn,1,
13016,台胞,10646,13602,tái bāo,1,
13017,古时,10648,13603,gǔ shí,1,
13018,应运,10649,13604,yìng yùn,1,
13019,美术馆,10650,13605,měi shù guǎn,1,
13020,只管,10652,13606,zhǐ guǎn,1,
13021,板块,10653,13607,bǎn kuài,1,
13022,商品化,10655,13608,shāng pǐn huà,1,
13023,总装,10656,13609,zǒng zhuāng,1,
13024,外方,10657,13610,wài fāng,1,
13025,性病,10658,13611,xìng bìng,1,
13026,声色,10659,13612,shēng sè,1,
13027,焚烧,10660,13613,fén shāo,1,
13028,薪水,10661,13614,xīn shui,1,
13029,下定,10664,13615,xià dìng,1,
13030,绝非,10665,13616,jué fēi,1,
13031,商厦,10666,13617,shāng shà,1,
13032,功课,10667,13618,gōng kè,1,
13033,突然间,10668,13619,tū rán jiān,1,
13034,低估,10669,13620,dī gū,1,
13035,严寒,10670,13621,yán hán,1,
