pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
205161,冲锋,chōng fēng,,6669,1
81491,草率,cǎo shuài,6,6670,1
86821,和蔼,hé ǎi,6,6671,1
202001,琵琶,pí pá,,6673,1
206212,琵琶,pí pa,,6673,2
83521,堤坝,dī bà,6,6674,1
98221,贤惠,xián huì,6,6675,1
202241,猖獗,chāng jué,,6676,1
101531,沼泽,zhǎo zé,6,6677,1
97661,乌黑,wū hēi,6,6678,1
205211,螺钉,luó dīng,,6679,1
90121,款待,kuǎn dài,6,6680,1
79671,把戏,bǎ xì,6,6681,1
101521,着迷,zháo mí,6,6682,1
200192,急于求成,jí yú qiú chéng,6,6687,1
94201,仁慈,rén cí,6,6694,1
92711,品行,pǐn xíng,6,6695,1
90461,礼节,lǐ jié,6,6696,1
94541,山脉,shān mài,6,6697,1
81111,不相上下,bù xiāng shàng xià,6,6705,1
91351,茂盛,mào shèng,6,6707,1
102991,壮烈,zhuàng liè,6,6711,1
90351,牢骚,láo sāo,6,6712,1
200191,机灵,jī líng,6,6713,1
87671,机灵,jī ling,6,6713,2
82231,赤道,chì dào,6,6716,1
94751,深奥,shēn ào,6,6717,1
101351,斩钉截铁,zhǎn dīng jié tiě,6,6718,1
91091,螺丝钉,luó sī dīng,6,6719,1
81441,操练,cāo liàn,6,6720,1
100111,一举两得,yī jǔ liǎng dé,6,6723,1
100511,用功,yòng gōng,6,6724,1
101341,瞻仰,zhān yǎng,6,6727,1
93361,谦逊,qiān xùn,6,6728,1
82611,喘气,chuǎn qì,6,6729,1
88291,剪彩,jiǎn cǎi,6,6730,1
88441,见闻,jiàn wén,6,6734,1
93491,锲而不舍,qiè ér bù shě,6,6735,1
206228,橄榄,gǎn lǎn,,6743,1
81431,操劳,cāo láo,6,6744,1
91871,抹杀,mǒ shā,6,6746,1
83011,打猎,dǎ liè,6,6747,1
101681,斟酌,zhēn zhuó,6,6751,1
