pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
49801,恁,nèn,,9861,1
49802,恁,nín,,9861,2
50151,诠,quán,,9862,1
50001,篌,hóu,,9863,1
49931,蒺,jí,,9864,1
50191,槁,gǎo,,9865,1
50231,涿,zhuō,,9866,1
49961,鄯,shàn,,9867,1
50371,聩,kuì,,9868,1
50361,罔,wǎng,,9869,1
50111,螽,zhōng,,9870,1
50351,逡,qūn,,9871,1
49911,嵬,wéi,,9872,1
49841,猁,lì,,9873,1
50221,豕,shǐ,,9874,1
49831,堞,dié,,9875,1
49871,瘿,yǐng,,9876,1
49881,茔,yíng,,9877,1
50281,栊,lóng,,9878,1
50131,樽,zūn,,9879,1
49851,襞,bì,,9880,1
50041,笈,jí,,9881,1
50411,佥,qiān,,9882,1
50531,阏,è,,9883,2
50532,阏,yān,,9883,1
50591,饕,tāo,,9884,1
50921,揆,kuí,,9885,1
50841,鬣,liè,,9886,1
50511,郢,yǐng,,9887,1
50991,僳,sù,,9888,1
50521,岙,ào,,9889,1
50851,洹,huán,,9890,1
50571,珏,jué,,9891,1
50861,龉,yǔ,,9892,1
51001,獐,zhāng,,9893,1
51031,郓,yùn,,9894,1
50911,鼬,yòu,,9895,1
50701,弑,shì,,9896,1
50951,龃,jǔ,,9897,1
50711,悌,tì,,9898,1
50611,镬,huò,,9899,1
50641,髋,kuān,,9900,1
50601,玑,jī,,9901,1
50581,苫,shàn,,9902,2
50582,苫,shān,,9902,1
51071,锴,kǎi,,9903,1
50901,锶,sī,,9904,1
50881,觎,yú,,9905,1
50461,玮,wěi,,9906,1
51041,铋,bì,,9907,1
50871,蛭,zhì,,9908,1
50811,馑,jǐn,,9909,1
50731,塬,yuán,,9910,1
50761,箴,zhēn,,9911,1
50401,廪,lǐn,,9912,1
50891,旎,nǐ,,9913,1
50541,鹳,guàn,,9914,1
50931,鲣,jiān,,9915,1
50961,诨,hùn,,9916,1
51061,躅,zhú,,9917,1
50451,谥,shì,,9918,1
50441,嵊,shèng,,9919,1
50431,檩,lǐn,,9920,1
50791,痼,gù,,9921,1
50501,驷,sì,,9922,1
50561,綦,qí,,9923,1
50981,虢,guó,,9924,1
50751,竽,yú,,9925,1
50821,伛,yǔ,,9926,1
50771,嗉,sù,,9927,1
50681,鄞,yín,,9928,1
50941,搦,nuò,,9929,1
50801,怄,òu,,9930,1
50671,莆,pú,,9931,1
50491,铄,shuò,,9932,1
50691,旖,yǐ,,9933,1
50471,炅,jiǒng,,9934,1
50472,炅,guì,,9934,2
50721,蒽,ēn,,9935,1
50481,蹁,pián,,9936,1
50421,谰,lán,,9937,1
50551,裾,jū,,9938,1
50971,筠,yún,,9939,2
50972,筠,jūn,,9939,1
50651,肱,gōng,,9940,1
50831,稃,fū,,9941,1
51051,铍,pī,,9942,2
51052,铍,pí,,9942,1
50621,罘,fú,,9943,1
50631,畹,wǎn,,9944,1
51011,撺,cuān,,9945,1
51021,苡,yǐ,,9946,1
50741,鸢,yuān,,9947,1
50661,碜,chěn,,9948,1
50781,鸷,zhì,,9949,1
51231,昴,mǎo,,9950,1
51421,缬,xié,,9951,1
51541,跎,tuó,,9952,1
51591,楫,jí,,9953,1
51811,愎,bì,,9954,1
51821,缂,kè,,9955,1
51121,忤,wǔ,,9956,1
51211,枭,xiāo,,9957,1
51081,芮,ruì,,9958,1
51831,錾,zàn,,9959,1
51141,柢,dǐ,,9960,1
51691,枳,zhǐ,,9961,1
51661,羰,tāng,,9962,1
51371,髡,kūn,,9963,1
51481,裢,lián,,9964,1
51431,毖,bì,,9965,1
51461,嗲,diǎ,,9966,1
51341,秕,bǐ,,9967,1
51741,鲴,gù,,9968,1
51391,琮,cóng,,9969,1
51401,芾,fèi,,9970,1
51402,芾,fú,,9970,2
51511,擤,xǐng,,9971,1
51361,氪,kè,,9972,1
51671,赝,yàn,,9973,1
51571,鳕,xuě,,9974,1
51681,锆,gào,,9975,1
51161,疠,lì,,9976,1
51331,榉,jǔ,,9977,1
51701,媪,ǎo,,9978,1
51631,腠,còu,,9979,1
51581,飑,biāo,,9980,1
51131,纾,shū,,9981,1
51261,逶,wēi,,9982,1
51091,薮,sǒu,,9983,1
51711,幛,zhàng,,9984,1
51771,麋,mí,,9985,1
51351,粜,tiào,,9986,1
51441,舛,chuǎn,,9987,1
51101,俎,zǔ,,9988,1
51321,虬,qiú,,9989,1
51311,啁,zhāo,,9990,2
51312,啁,zhōu,,9990,1
51491,哚,duǒ,,9991,1
51531,橇,qiāo,,9992,1
51731,砦,zhài,,9993,1
51301,邋,lā,,9994,1
51171,逋,bū,,9995,1
51241,氡,dōng,,9996,1
51501,囹,líng,,9997,1
51761,棹,zhào,,9998,1
51621,箨,tuò,,9999,1
51611,蠼,qú,,10000,1
51291,悱,fěi,,10001,1
51641,螋,sōu,,10002,1
51751,郧,yún,,10003,1
